#Chinese	#English	#Sentences
七誡運動歌	Song of Encouragement
 	 	每年大會的第一天，所有與會者都佩戴著會徽。
 	 	On the first day of the annual conference, all participants wear the BLIA Emblem.
 	 	設計新會員卡時，會徽被放置在顯著的位置上。
 	 	When designing new membership cards, the BLIA Emblem is prominently placed.
 	 	這枚會徽見證了我們多年來的辛勤努力和成就。
 	 	This BLIA Emblem has witnessed our years of hard work and achievements.
會旗	BLIA Flag
 	 	在慶祝活動中，會旗在會場中央莊嚴地升起，象徵著國際佛光會的精神。
 	 	During the celebration, the BLIA Flag was solemnly raised at the center of the venue, symbolizing the spirit of the BLIA.
 	 	每年全球會議時，各地代表都驕傲地展示他們的會旗。
 	 	Every year at the global conference, representatives from various regions proudly display their BLIA Flags.
 	 	新成立的分會獲頒會旗，代表著他們成為國際佛光會的一部分。
 	 	The newly established chapter was awarded a BLIA Flag, representing their becoming a part of the BLIA.
 	 	會旗飄揚在活動上空，激勵著成員們更加投入於佛教推廣的工作。
 	 	The BLIA Flag fluttered above the event, inspiring members to further dedicate themselves to the promotion of Buddhism.
會服旗袍	Women's Membership Dress
 	 	在國際佛光會的年會上，婦女們穿著會服旗袍參加了盛大的晚宴。
 	 	At the annual convention of the BLIA, women attended the grand banquet dressed in the Women's Membership Dress.
 	 	會服旗袍的設計兼具傳統與現代美感，深受會員喜愛。
 	 	The design of the Women's Membership Dress combines traditional and modern aesthetics, making it a favorite among the members.
 	 	她穿上了會服旗袍，準備在佛光會的活動中擔任義工。
 	 	She put on the Women's Membership Dress, ready to volunteer at the BLIA event.
 	 	作為國際佛光會的會長，她在致辭時穿著典雅的會服旗袍，儀態大方。
 	 	As the President of the BLIA, she wore an elegant Women's Membership Dress while delivering her speech, showcasing her graceful demeanor.
會服背心	Membership Vest
 	 	每位新加入的會員都會收到一件象徵身份的會服背心。
 	 	Every new member receives a membership vest as a symbol of their affiliation.
 	 	在大型會議上，參加者穿著會服背心以便於辨識。
 	 	At major conferences, participants wear membership vests for easy identification.
 	 	國際佛光會的會服背心上印有標誌和會徽，象徵著對組織的認同。
 	 	The membership vest of BLIA has the logo and emblem printed on it, symbolizing the organization's identity.
 	 	作為行政文書組的一員，她必須在活動時穿上會服背心。
 	 	As a member of the administrative documentation team, she is required to wear the membership vest during events.
會歌	BLIA Anthem
 	 	每次國際會議開始前，我們都會齊唱會歌。
 	 	Before the start of each international conference, we always sing the BLIA Anthem together.
 	 	在慶祝活動中，大眾高聲合唱會歌，展現了團結一致的精神。
 	 	During the celebration, the crowd sang the BLIA Anthem loudly, showcasing a spirit of unity.
 	 	作為國際佛光會的一員，我以能唱會歌而感到自豪。
 	 	As a member of BLIA, I feel proud to sing the BLIA Anthem.
 	 	這首會歌不僅僅是一首歌曲，更是我們信仰和願景的象徵。
 	 	This BLIA Anthem is not just a song but a symbol of our faith and vision.
會籍組	Membership Unit
 	 	國際佛光會的會籍組負責招募新成員和管理成員資料。
 	 	The Membership Unit of BLIA is responsible for recruiting new members and managing member information.
 	 	他在會籍組工作多年，累積了豐富的經驗與人脈。
 	 	He has worked in the Membership Unit for many years, accumulating a wealth of experience and connections.
 	 	會籍組今年的目標是增加會員的參與度和提升會員福利。
 	 	The goal of the Membership Unit this year is to increase member engagement and enhance member benefits.
 	 	作為會籍組的一員，她努力促進組織內部的溝通，使新成員更快融入。
 	 	As a member of the Membership Unit, she strives to facilitate internal communication to help new members integrate quickly.
會費	Membership Fee
 	 	國際佛光會的會費將用於支持多項慈善活動和文化交流。
 	 	The membership fee of the BLIA will support various charitable activities and cultural exchanges.
 	 	每年繳納會費的成員將享有參加特別活動的優先權。
 	 	Members who pay the annual membership fee will have priority in participating in special events.
 	 	會費使得國際佛光會能繼續提供高質量的課程和服務。
 	 	The membership fee enables the BLIA to continue providing high-quality courses and services.
 	 	對於無法支付會費的成員，國際佛光會提供經濟援助選項。
 	 	For members unable to pay the membership fee, the BLIA offers financial assistance options.
會長	President
 	 	他被推選為國際佛光會的會長，負責領導組織的全球運作。
 	 	He was elected as the President of the Buddha's Light International Association, responsible for leading the organization's global operations.
 	 	作為會長，她常常參加各種宗教及文化交流活動。
 	 	As the President, she often participates in various religious and cultural exchange activities.
 	 	會長在年度大會上發表了重要演講，強調和平與和諧的重要性。
 	 	The President delivered an important speech at the annual conference, emphasizing the importance of peace and harmony.
 	 	擔任會長期間，他致力於推動佛教教育的發展。
 	 	During his tenure as President, he dedicated himself to promoting the development of Buddhist education.
會長肩帶	Presidential Sash
 	 	在國際佛光會的年度會議中，會長穿戴會長肩帶登台發表講話，象徵他的領導權威。
 	 	At the annual conference of the BLIA, the president took the stage wearing the presidential sash to deliver a speech, symbolizing his leadership authority.
 	 	新的會長上任時，前任會長親自為他披上會長肩帶，以示傳承和祝福。
 	 	When the new president took office, the predecessor personally draped the presidential sash over him as a sign of succession and blessing.
 	 	這條會長肩帶是由精緻的絲綢製成，上面繡有國際佛光會的標誌。
 	 	The presidential sash is made of exquisite silk and is embroidered with the emblem of the BLIA.
 	 	每年在表彰大會上，會長肩帶都會由現任會長交接給下一任，象徵責任交接。
 	 	Each year at the awards ceremony, the presidential sash is passed from the current president to the successor, symbolizing the transition of responsibility.
朝山活動	Pilgrimage
 	 	參加朝山活動讓我感受到內心的平靜與充實。
 	 	Participating in the pilgrimage brought me inner peace and fulfillment.
 	 	許多信徒每年都會參加朝山活動，以冀求心靈的淨化。
 	 	Many devotees participate in the pilgrimage annually, seeking spiritual purification.
 	 	國際佛光會的會長帶領會眾遠赴印度參加朝山活動。
 	 	The President of BLIA led the congregation on a pilgrimage to India.
 	 	我們行政文書組負責安排今年朝山活動的所有後勤工作。
 	 	Our Administrative Affairs Group is responsible for organizing all logistics for this year's pilgrimage.
